datetime,open,high,low,close
2024-01-01 23:00:00+00:00,2064.23999,2074.8999,2063.30005,2063.80005
2024-01-02 00:00:00+00:00,2063.84009,2065.88989,2062.38989,2065.51001
2024-01-02 01:00:00+00:00,2065.67993,2069.88989,2064.96997,2066.69995
2024-01-02 02:00:00+00:00,2066.69995,2068.51001,2064.090088,2067.84009
2024-01-02 03:00:00+00:00,2067.86011,2070.36011,2066.59009,2069.69995
2024-01-02 04:00:00+00:00,2069.71997,2070.69995,2068.98999,2069.61011
2024-01-02 05:00:00+00:00,2069.69995,2074.88989,2069.59009,2074.57007
2024-01-02 06:00:00+00:00,2074.63989,2076.76001,2073.01001,2074.17993
2024-01-02 07:00:00+00:00,2074.21997,2076.48999,2073.19995,2073.19995
2024-01-02 08:00:00+00:00,2073.67993,2074.61011,2071.88989,2073.36011
2024-01-02 09:00:00+00:00,2073.38989,2078.92993,2073.36011,2077.090088
2024-01-02 10:00:00+00:00,2077.11011,2077.82007,2073.57007,2076.090088
2024-01-02 11:00:00+00:00,2076.050049,2076.28003,2068.36011,2069.34009
2024-01-02 12:00:00+00:00,2069.32007,2069.53003,2065.17993,2068.030029
2024-01-02 13:00:00+00:00,2067.96997,2071.030029,2064.94995,2066.32007
2024-01-02 14:00:00+00:00,2066.32007,2070.42993,2062.30005,2070.40991
2024-01-02 15:00:00+00:00,2070.63989,2070.63989,2055.98999,2059.32007
2024-01-02 16:00:00+00:00,2059.40991,2067.67993,2059.30005,2066.17993
2024-01-02 17:00:00+00:00,2066.15991,2067.01001,2061.90991,2062.76001
2024-01-02 18:00:00+00:00,2062.84009,2065.030029,2060.67993,2061.26001
2024-01-02 19:00:00+00:00,2061.26001,2062.21997,2060.53003,2060.96997
2024-01-02 20:00:00+00:00,2060.96997,2061.67993,2058.050049,2058.23999
2024-01-02 21:00:00+00:00,2058.46997,2059.30005,2058.12012,2058.96997
2024-01-02 23:00:00+00:00,2059.090088,2060.13989,2058.73999,2059.63989
2024-01-03 00:00:00+00:00,2059.63989,2062.17993,2059.26001,2060.23999
2024-01-03 01:00:00+00:00,2060.13989,2062.61011,2059.63989,2062.46997
2024-01-03 02:00:00+00:00,2062.63989,2065.21997,2061.65991,2064.76001
2024-01-03 03:00:00+00:00,2064.73999,2065.65991,2063.42993,2065.15991
2024-01-03 04:00:00+00:00,2065.070068,2065.63989,2064.51001,2064.92993
2024-01-03 05:00:00+00:00,2064.90991,2066.01001,2063.57007,2064.13989
2024-01-03 06:00:00+00:00,2064.13989,2065.48999,2063.53003,2064.36011
2024-01-03 07:00:00+00:00,2064.26001,2064.32007,2061.030029,2063.01001
2024-01-03 08:00:00+00:00,2063.050049,2064.36011,2059.030029,2060.090088
2024-01-03 09:00:00+00:00,2060.050049,2060.65991,2054.38989,2056.88989
2024-01-03 10:00:00+00:00,2056.80005,2057.19995,2052.73999,2054.96997
2024-01-03 11:00:00+00:00,2054.94995,2055.71997,2046.83997,2047.54004
2024-01-03 12:00:00+00:00,2047.64001,2048.38989,2041.87,2045.76001
2024-01-03 13:00:00+00:00,2045.79004,2047.98999,2038.87,2041.079956
2024-01-03 14:00:00+00:00,2041.14001,2042.37,2031.93005,2037.96997
2024-01-03 15:00:00+00:00,2038.030029,2048.76001,2031.95996,2032.59998
2024-01-03 16:00:00+00:00,2033.01001,2036.040039,2031.48999,2032.48999
2024-01-03 17:00:00+00:00,2032.60999,2033.78003,2030.80005,2033.41003
2024-01-03 18:00:00+00:00,2033.51001,2036.37,2033.01001,2035.93005
2024-01-03 19:00:00+00:00,2035.96997,2042.23999,2030.73999,2036.76001
2024-01-03 20:00:00+00:00,2036.78003,2042.37,2036.63,2040.81006
2024-01-03 21:00:00+00:00,2041.18994,2041.83997,2040.39001,2041.44995
2024-01-03 23:00:00+00:00,2042.35999,2043.98999,2041.80005,2043.050049
2024-01-04 00:00:00+00:00,2043.040039,2043.23999,2041.63,2042.23999
2024-01-04 01:00:00+00:00,2042.20996,2043.32996,2040.20996,2042.33997
2024-01-04 02:00:00+00:00,2042.38,2044.80005,2042.37,2044.60999
2024-01-04 03:00:00+00:00,2044.68994,2046.90002,2044.18994,2044.68994
2024-01-04 04:00:00+00:00,2044.59998,2044.73999,2042.53003,2043.18994
2024-01-04 05:00:00+00:00,2043.17004,2044.41003,2042.48999,2043.84998
2024-01-04 06:00:00+00:00,2043.85999,2048.63989,2043.73999,2047.31006
2024-01-04 07:00:00+00:00,2047.26001,2049.57007,2046.57996,2047.70996
2024-01-04 08:00:00+00:00,2047.76001,2048.61011,2045.51001,2046.85999
2024-01-04 09:00:00+00:00,2046.84998,2051.050049,2046.40002,2048.01001
2024-01-04 10:00:00+00:00,2048.070068,2050.82007,2046.70996,2048.030029
2024-01-04 11:00:00+00:00,2048.01001,2048.48999,2044.96997,2045.20996
2024-01-04 12:00:00+00:00,2045.15002,2046.21997,2043.40002,2046.030029
2024-01-04 13:00:00+00:00,2046.089966,2047.31995,2038.91003,2040.26001
2024-01-04 14:00:00+00:00,2040.38,2042.60999,2036.31995,2039.43994
2024-01-04 15:00:00+00:00,2039.43994,2047.68994,2039.15002,2045.10999
2024-01-04 16:00:00+00:00,2045.17004,2046.81006,2044.23999,2044.82996
2024-01-04 17:00:00+00:00,2044.82996,2045.12,2040.93005,2043.31006
2024-01-04 18:00:00+00:00,2043.19995,2044.040039,2041.64001,2043.23999
2024-01-04 19:00:00+00:00,2043.21997,2044.93994,2042.56006,2044.42004
2024-01-04 20:00:00+00:00,2044.53003,2044.91003,2043.13,2043.26001
2024-01-04 21:00:00+00:00,2043.28003,2044.40002,2043.16003,2043.42004
2024-01-04 23:00:00+00:00,2043.81006,2044.82996,2042.89001,2044.21997
2024-01-05 00:00:00+00:00,2044.26001,2044.76001,2043.38,2044.40002
2024-01-05 01:00:00+00:00,2044.39001,2048.32007,2044.18005,2046.21997
2024-01-05 02:00:00+00:00,2046.20996,2047.96997,2045.76001,2046.23999
2024-01-05 03:00:00+00:00,2046.33997,2046.51001,2044.88,2045.38
2024-01-05 04:00:00+00:00,2045.40002,2046.42004,2044.55005,2044.68005
2024-01-05 05:00:00+00:00,2044.73999,2045.26001,2043.20996,2044.53003
2024-01-05 06:00:00+00:00,2044.48999,2045.14001,2040.95996,2042.51001
2024-01-05 07:00:00+00:00,2042.48999,2047.089966,2042.12,2043.18005
2024-01-05 08:00:00+00:00,2043.19995,2044.42004,2041.43005,2042.58997
2024-01-05 09:00:00+00:00,2042.44995,2043.73999,2038.46997,2038.91003
2024-01-05 10:00:00+00:00,2038.93994,2040.35999,2037.43994,2040.14001
2024-01-05 11:00:00+00:00,2040.10999,2040.42004,2037.29004,2039.32996
2024-01-05 12:00:00+00:00,2039.34998,2040.98999,2038.51001,2040.26001
2024-01-05 13:00:00+00:00,2040.42004,2041.85999,2024.71997,2040.17004
2024-01-05 14:00:00+00:00,2040.29004,2049.21997,2038.89001,2046.78003
2024-01-05 15:00:00+00:00,2046.93994,2062.73999,2046.93994,2061.88989
2024-01-05 19:00:00+00:00,2048.11011,2048.3999,2045.079956,2045.80005
2024-01-07 23:00:00+00:00,2044.68994,2045.73999,2043.01001,2044.38
2024-01-08 00:00:00+00:00,2044.41003,2046.35999,2043.87,2046.050049
2024-01-08 01:00:00+00:00,2045.95996,2046.68005,2043.030029,2043.88
2024-01-08 02:00:00+00:00,2043.85999,2043.87,2041.37,2041.39001
2024-01-08 03:00:00+00:00,2041.35999,2041.55005,2035.17004,2036.16003
2024-01-08 04:00:00+00:00,2036.20996,2037.69995,2035.69995,2035.88
2024-01-08 05:00:00+00:00,2035.87,2036.20996,2027.29004,2030.85999
2024-01-08 06:00:00+00:00,2030.56995,2033.38,2030.44995,2033.079956
2024-01-08 07:00:00+00:00,2033.079956,2033.30005,2028.69995,2031.51001
2024-01-08 08:00:00+00:00,2031.29004,2031.81995,2027.38,2028.37
2024-01-08 09:00:00+00:00,2028.31006,2031.83997,2026.68994,2029.12
2024-01-08 10:00:00+00:00,2029.15002,2029.60999,2027.060059,2027.65002
2024-01-08 11:00:00+00:00,2027.59998,2027.94995,2017.37,2020.12
2024-01-08 12:00:00+00:00,2020.10999,2024.98999,2019.030029,2024.71997
2024-01-08 13:00:00+00:00,2024.73999,2025.57996,2018.53003,2019.01001
2024-01-08 14:00:00+00:00,2018.98999,2027.23999,2018.56006,2026.54004
2024-01-08 15:00:00+00:00,2026.62,2034.81995,2025.59998,2034.12
2024-01-08 16:00:00+00:00,2034.68994,2036.91003,2031.51001,2032.23999
2024-01-08 17:00:00+00:00,2032.29004,2033.089966,2027.18005,2027.73999
2024-01-08 18:00:00+00:00,2027.68994,2028.37,2026.48999,2026.64001
2024-01-08 19:00:00+00:00,2026.62,2029.56006,2026.62,2029.41003
2024-01-08 20:00:00+00:00,2029.40002,2029.83997,2026.18994,2027.23999
2024-01-08 21:00:00+00:00,2027.38,2028.76001,2027.26001,2028.069946
2024-01-08 23:00:00+00:00,2028.19995,2030.98999,2027.98999,2030.87
2024-01-09 00:00:00+00:00,2030.93005,2034.95996,2030.81995,2034.39001
2024-01-09 01:00:00+00:00,2034.39001,2035.57996,2031.30005,2032.31995
2024-01-09 02:00:00+00:00,2032.32996,2035.93005,2032.23999,2034.079956
2024-01-09 03:00:00+00:00,2034.21997,2035.030029,2033.12,2033.66003
2024-01-09 04:00:00+00:00,2033.56995,2034.98999,2032.30005,2032.94995
2024-01-09 05:00:00+00:00,2033.040039,2033.55005,2030.41003,2032.85999
2024-01-09 06:00:00+00:00,2032.79004,2035.29004,2031.23999,2033.23999
2024-01-09 07:00:00+00:00,2033.30005,2037.16003,2032.21997,2036.12
2024-01-09 08:00:00+00:00,2036.26001,2038.089966,2031.39001,2034.32996
2024-01-09 09:00:00+00:00,2034.31995,2037.10999,2033.20996,2035.48999
2024-01-09 10:00:00+00:00,2035.55005,2038.58997,2034.88,2035.51001
2024-01-09 11:00:00+00:00,2035.45996,2035.73999,2033.79004,2034.93994
2024-01-09 12:00:00+00:00,2035.089966,2036.40002,2033.98999,2036.39001
2024-01-09 13:00:00+00:00,2036.46997,2041.84998,2031.76001,2038.70996
2024-01-09 14:00:00+00:00,2038.67004,2040.099976,2034.030029,2034.81995
