timestamp,symbol,timeframe,iteration,direction,setup_id,range_high,range_low,range_quality_score,range_bars,range_touches_high,range_touches_low,atr_at_setup,range_height_atr,ssl_bsl_sweep_type,sweep_bar,sweep_wick_size_atr,sweep_wick_size_abs,structure_break_type,breakout_bar,breakout_direction,breakout_body_atr,breakout_quality,htf_trend,retest_zone_type,retest_zone_top,retest_zone_bottom,entry_price,sl_price,tp1_price,tp2_price,tp_score,rr_tp1,rr_tp2,rejection_reason,entry_bar,exit_bar,exit_reason,exit_price,r_multiple,mae_abs,mfe_abs,bars_held,session
2024-04-11 07:45:00+00:00,XAU/USD,5min,0,LONG,SETUP_00003,2339.77002,2333.94995,70.0,20,3,3,1.8377,2.827,SSL_SWING_LOW,435,1.09,2.35,MSS_BULLISH,444,LONG,1.015,STRONG,RANGING,OB,2338.81,2337.88,2339.04,2336.96,2341.11,2342.29,35,1.0,1.37,,449,451,SL,2336.91,-1.024,3.35,0.52,2,london
2024-04-15 11:40:00+00:00,XAU/USD,5min,0,SHORT,SETUP_00008,2361.30005,2355.61011,55.0,8,3,2,2.1103,2.696,BSL_RANGE_HIGH,1024,0.339,0.5,MSS_BEARISH,981,SHORT,0.716,MODERATE,RANGING,BB,2359.66,2359.12,2358.9,2358.9,2357.08,2355.19,35,1.0,1.77,,1036,1040,SL,2358.95,0.5,0.51,2.59,4,london
2024-04-15 13:25:00+00:00,XAU/USD,5min,0,LONG,SETUP_00009,2361.30005,2355.61011,55.0,29,3,2,2.7986,2.696,SSL_PDL,1053,0.266,0.83,MSS_BULLISH,1041,LONG,1.223,STRONG,RANGING,BB,2352.82,2352.43,2353.05,2353.05,2355.06,2365.56,35,1.0,5.64,,1057,1058,SL,2353.0,0.498,0.96,2.57,1,new_york
2024-04-15 13:50:00+00:00,XAU/USD,5min,0,SHORT,SETUP_00010,2356.1499,2343.31006,55.0,8,5,2,4.514,2.844,BSL_SWING_HIGH,1059,0.929,3.03,MSS_BEARISH,1059,SHORT,1.143,STRONG,RANGING,BB,2351.72,2350.09,2349.87,2349.87,2345.75,2330.47,25,1.0,4.48,,1062,1065,TP2,2330.47,2.861,0.0,23.84,3,new_york
2024-04-17 12:25:00+00:00,XAU/USD,5min,0,LONG,SETUP_00016,2390.46997,2385.1001,55.0,27,4,2,1.8708,2.978,SSL_RANGE_LOW,1594,0.247,0.4,MSS_BULLISH,1594,LONG,0.783,MODERATE,RANGING,BB,2384.9,2383.56,2385.65,2382.62,2388.68,2395.84,30,1.0,2.55,,1597,1598,SL,2382.57,-1.017,3.92,0.0,1,new_york
2024-04-18 09:55:00+00:00,XAU/USD,5min,0,SHORT,SETUP_00022,2380.68994,2376.73999,50.0,44,1,3,1.0665,2.253,BSL_SWING_HIGH,1843,0.384,0.41,MSS_BEARISH,1809,SHORT,0.993,MODERATE,RANGING,OB,2380.91,2380.69,2380.46,2380.46,2379.46,2374.32,35,1.0,5.18,,1843,1848,SL,2380.51,0.5,0.52,3.06,5,london
2024-04-18 11:15:00+00:00,XAU/USD,5min,0,LONG,SETUP_00023,2384.030029,2380.96997,65.0,10,4,2,1.4589,2.548,SSL_RANGE_LOW,1859,1.302,1.9,BOS_BULLISH,1849,LONG,0.607,MODERATE_BOS,RANGING,BB,2379.34,2378.64,2379.57,2379.57,2381.22,2387.09,25,1.0,4.02,,1859,1860,SL,2379.52,0.497,0.19,1.92,1,london
2024-04-18 15:00:00+00:00,XAU/USD,5min,0,LONG,SETUP_00025,2384.87988,2375.65991,65.0,16,4,3,4.08,2.187,SSL_SWING_LOW,1903,0.25,1.05,BOS_BULLISH,1869,LONG,1.045,MODERATE_BOS,RANGING,BB,2379.91,2379.39,2380.13,2380.13,2382.92,2384.72,35,1.0,1.49,,1904,1910,TP2,2384.72,1.327,0.51,4.64,6,new_york
2024-04-22 07:20:00+00:00,XAU/USD,5min,0,LONG,SETUP_00031,2367.030029,2359.090088,40.0,16,4,1,2.705,3.013,SSL_RANGE_LOW,2342,0.43,1.0,BOS_BULLISH,2350,LONG,0.746,MODERATE_BOS,RANGING,OB,2359.48,2356.69,2359.7,2355.34,2364.07,2374.97,30,1.0,3.32,,2352,2396,SL,2355.29,-1.011,5.65,4.04,44,london
2024-04-23 08:45:00+00:00,XAU/USD,5min,0,SHORT,SETUP_00032,2314.65991,2295.77002,40.0,85,4,1,2.0502,3.354,BSL_SWING_HIGH,2642,0.337,0.76,MSS_BEARISH,2625,SHORT,0.696,MODERATE,DOWNTREND,BB,2302.62,2301.79,2301.57,2303.65,2299.48,2299.02,25,1.0,1.05,,2645,2646,SL,2303.7,-1.024,2.23,0.0,1,london
